threadsNum = 32
n,SEQ,PAR,par_sr,SEQ/PAR, SEQ/par_sr 
1024,2.109e-07,0.00120789,4.13344e-05,0.000174603,0.00510229
2048,3.146e-07,0.000175593,6.40673e-05,0.00179164,0.00491046
4096,5.601e-07,0.00021989,0.000163988,0.00254718,0.00341549
8192,1.0481e-06,0.000196312,0.000297661,0.00533894,0.00352112
16384,2.0071e-06,0.000214171,0.000305932,0.0093715,0.00656061
32768,3.9735e-06,0.000205731,0.000322744,0.0193141,0.0123116
65536,8.4697e-06,0.000193945,0.000296813,0.0436707,0.0285355
131072,1.75218e-05,0.000200218,0.000320113,0.0875136,0.0547362
262144,4.64074e-05,0.000199612,0.000342988,0.232488,0.135303
524288,0.000143239,0.000218587,0.000325577,0.655296,0.439956
1048576,0.000364913,0.000212736,0.000319246,1.71533,1.14305
2097152,0.000778997,0.000234837,0.000295077,3.31718,2.63997
4194304,0.00164708,0.000261863,0.000171269,6.28986,9.6169
8388608,0.00341293,0.000313692,0.000181517,10.8799,18.8023
16777216,0.00661825,0.000532533,0.00046268,12.4279,14.3042
33554432,0.0136077,0.00171302,0.00188199,7.94373,7.23048
67108864,0.0289228,0.00427807,0.00418076,6.76071,6.91807
134217728,0.0553071,0.00962877,0.010113,5.74394,5.46892
268435456,0.117748,0.0183139,0.0167771,6.42943,7.01836
